molecule_chembl_id,pref_name,canonical_smiles,standard_inchi_key,full_mwt,full_molformula,alogp,np_likeness_score,natural_product,compound_id,name,domain,chemical_class,label_source,smiles_final,standard_id,er_alpha_active,er_alpha_active_max_pchembl,ahr_active,ahr_active_max_pchembl,ar_active,ar_active_max_pchembl,esr1_binding,esr1_binding_max_pchembl,esr1_agonism,esr1_agonism_max_pchembl,esr1_antagonism,esr1_antagonism_max_pchembl,esr1_reporter,esr1_reporter_max_pchembl,ahr_binding,ahr_binding_max_pchembl,ahr_agonism,ahr_agonism_max_pchembl,ahr_reporter,ahr_reporter_max_pchembl,ar_binding,ar_binding_max_pchembl,ar_agonism,ar_agonism_max_pchembl,ar_antagonism,ar_antagonism_max_pchembl,ar_reporter,ar_reporter_max_pchembl,mie_receptor_binding,mie_receptor_binding_max_pchembl,mie_receptor_agonism,mie_receptor_agonism_max_pchembl,mie_receptor_antagonism,mie_receptor_antagonism_max_pchembl,reporter_response,reporter_response_max_pchembl,measured_tasks
CHEMBL4476760,,CC/C(=C(/c1ccc(/C=C/C(=O)O)cc1)c1ccc2ncsc2c1)c1ccccc1,MVAQPNJXDLBMSQ-YJFMDEFYSA-N,411.53,C26H21NO2S,6.76,-0.37,0,CHEMBL4476760,,generic_bioactive,,chembl_source_target_mie_curated,CC/C(=C(/c1ccc(/C=C/C(=O)O)cc1)c1ccc2ncsc2c1)c1ccccc1,MVAQPNJXDLBMSQ-YJFMDEFYSA-N,1.0,6.62,,,,,1.0,6.62,,,,,,,,,,,,,,,,,,,,,1,6.62,,,,,,,"er_alpha_active,esr1_binding,mie_receptor_binding"
CHEMBL4476831,,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCOc2cc(F)c([C@@H]3c4[nH]c5ccccc5c4C[C@@H](C)N3CC(C)(C)F)c(F)c2)C(C)(C)C)cc1,WNWBHGDKGOSOKU-QIINAUKOSA-N,1005.21,C53H67F3N6O8S,,,0,CHEMBL4476831,,generic_bioactive,,chembl_source_target_mie_curated,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCOc2cc(F)c([C@@H]3c4[nH]c5ccccc5c4C[C@@H](C)N3CC(C)(C)F)c(F)c2)C(C)(C)C)cc1,WNWBHGDKGOSOKU-QIINAUKOSA-N,1.0,9.1,,,,,1.0,9.1,,,,,,,,,,,,,,,,,,,,,1,9.1,,,,,,,"er_alpha_active,esr1_binding,mie_receptor_binding"
CHEMBL447837,,Oc1ccc(-c2ccc3c(Cl)c(O)ccc3c2)c(F)c1,XIWROJLPONIAKV-UHFFFAOYSA-N,288.7,C16H10ClFO2,4.71,0.01,0,CHEMBL447837,,generic_bioactive,,chembl_source_target_mie_curated,Oc1ccc(-c2ccc3c(Cl)c(O)ccc3c2)c(F)c1,XIWROJLPONIAKV-UHFFFAOYSA-N,1.0,7.24,,,,,1.0,7.24,,,,,,,,,,,,,,,,,,,,,1,7.24,,,,,,,"er_alpha_active,esr1_binding,mie_receptor_binding"
CHEMBL4482919,,CC(O)(COc1ccccc1C(F)(F)F)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,GCXINAWUBSKXLB-UHFFFAOYSA-N,452.31,C18H14F6N2O5,4.4,-1.1,0,CHEMBL4482919,,generic_bioactive,,chembl_source_target_mie_curated,CC(O)(COc1ccccc1C(F)(F)F)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,GCXINAWUBSKXLB-UHFFFAOYSA-N,,,,,1.0,6.74,,,,,,,,,,,,,,,1.0,6.74,1.0,6.74,1.0,6.74,1.0,6.74,1,6.74,1,6.74,1,6.74,1,6.74,"ar_active,ar_binding,ar_agonism,ar_antagonism,ar_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
CHEMBL4483006,,Cc1ccc(C(=O)c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CC(CF)C3)cc2)c(C)c1,LSSOFYVCQFGQLC-UHFFFAOYSA-N,505.61,C29H28FNO4S,6.53,-0.82,0,CHEMBL4483006,,generic_bioactive,,chembl_source_target_mie_curated,Cc1ccc(C(=O)c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CC(CF)C3)cc2)c(C)c1,LSSOFYVCQFGQLC-UHFFFAOYSA-N,1.0,8.84,,,,,1.0,8.84,1.0,8.13,1.0,8.13,1.0,8.13,,,,,,,,,,,,,,,1,8.84,1,8.13,1,8.13,1,8.13,"er_alpha_active,esr1_binding,esr1_agonism,esr1_antagonism,esr1_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
CHEMBL4483315,,O=C(CCCCn1c(=S)[nH]c2ccccc2c1=O)N1CCN(c2ccc(C(F)(F)F)cc2)CC1,VAAMBJHJULQTIA-UHFFFAOYSA-N,490.55,C24H25F3N4O2S,4.6,-1.6,0,CHEMBL4483315,,generic_bioactive,,chembl_source_target_mie_curated,O=C(CCCCn1c(=S)[nH]c2ccccc2c1=O)N1CCN(c2ccc(C(F)(F)F)cc2)CC1,VAAMBJHJULQTIA-UHFFFAOYSA-N,1.0,5.64,,,,,1.0,5.64,,,1.0,5.64,1.0,5.64,,,,,,,,,,,,,,,1,5.64,,,1,5.64,1,5.64,"er_alpha_active,esr1_binding,esr1_antagonism,esr1_reporter,mie_receptor_binding,mie_receptor_antagonism,reporter_response"
CHEMBL4483375,,O=c1cc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c2ccc3ccccc3c2o1,NAZFVCNKZLOPIH-UHFFFAOYSA-N,482.53,C30H24F2N2O2,6.14,-0.71,0,CHEMBL4483375,,generic_bioactive,,chembl_source_target_mie_curated,O=c1cc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c2ccc3ccccc3c2o1,NAZFVCNKZLOPIH-UHFFFAOYSA-N,,,,,1.0,6.07,,,,,,,,,,,,,,,1.0,6.07,,,,,,,1,6.07,,,,,,,"ar_active,ar_binding,mie_receptor_binding"
CHEMBL4483408,,CC(C)(C)C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3[C@@H](c3ccc(N4CCN(S(C)(=O)=O)CC4)cc3)C[C@@]21C,NVYLLDMIRRJUPP-FPPIQGJOSA-N,592.85,C35H48N2O4S,5.38,0.4,0,CHEMBL4483408,,generic_bioactive,,chembl_source_target_mie_curated,CC(C)(C)C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3[C@@H](c3ccc(N4CCN(S(C)(=O)=O)CC4)cc3)C[C@@]21C,NVYLLDMIRRJUPP-FPPIQGJOSA-N,,,,,1.0,6.45,,,,,,,,,,,,,,,1.0,6.45,1.0,6.45,1.0,6.45,1.0,6.45,1,6.45,1,6.45,1,6.45,1,6.45,"ar_active,ar_binding,ar_agonism,ar_antagonism,ar_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
CHEMBL4483663,,C[C@](O)(Cn1ccc2c(F)cccc21)C(=O)Nc1ccc(C#N)c(Cl)c1,MVBCFXQHDXSGME-IBGZPJMESA-N,371.8,C19H15ClFN3O2,3.7,-1.76,0,CHEMBL4483663,,generic_bioactive,,chembl_source_target_mie_curated,C[C@](O)(Cn1ccc2c(F)cccc21)C(=O)Nc1ccc(C#N)c(Cl)c1,MVBCFXQHDXSGME-IBGZPJMESA-N,,,,,1.0,6.85,,,,,,,,,,,,,,,1.0,6.85,1.0,6.85,1.0,6.85,1.0,6.85,1,6.85,1,6.85,1,6.85,1,6.85,"ar_active,ar_binding,ar_agonism,ar_antagonism,ar_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
CHEMBL4483683,,CC(O)(CSc1ccccc1C(F)(F)F)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,OPIOQEFQCCOQGB-UHFFFAOYSA-N,448.39,C19H14F6N2O2S,5.08,-1.18,0,CHEMBL4483683,,generic_bioactive,,chembl_source_target_mie_curated,CC(O)(CSc1ccccc1C(F)(F)F)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,OPIOQEFQCCOQGB-UHFFFAOYSA-N,,,,,1.0,6.37,,,,,,,,,,,,,,,1.0,6.37,1.0,6.37,1.0,6.37,1.0,6.37,1,6.37,1,6.37,1,6.37,1,6.37,"ar_active,ar_binding,ar_agonism,ar_antagonism,ar_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
