bank_name,task,fold_id,compound_id,self_compound_in_bank,alt_id_same_smiles_in_bank
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1032484,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1032513,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1032519,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1032646,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1033161,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1033371,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1034181,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1035288,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1035783,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1037303,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1037565,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1038795,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1040110,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1040112,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1040372,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1040611,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1040742,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1041265,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1041267,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1041425,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1041550,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1041847,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1041920,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1042154,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1042491,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1044487,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1044564,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1044697,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1047108,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1047285,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1047287,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1047310,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1047316,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1047368,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1047578,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1048174,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1048178,1,0
