compound_id,dtxsid,name,smiles_final,qsar_ready_smiles,ms_ready_smiles,smiles_ctx,exclusion_reason
DTXSID1052909,DTXSID1052909,DSH fall 2012_Erie,,,,,missing_smiles_final
DTXSID1057907,DTXSID1057907,MED_ChemMix_7EQC,,,,,missing_smiles_final
DTXSID1057909,DTXSID1057909,MED_IVEDCMix_4EQC,,,,,missing_smiles_final
DTXSID10858872,DTXSID10858872,EPAMED_Water_Set2-6,,,,,missing_smiles_final
DTXSID10858877,DTXSID10858877,EPAMED_Water_Set2-11,,,,,missing_smiles_final
DTXSID10858892,DTXSID10858892,EPAMED_Water_Set2-26,,,,,missing_smiles_final
DTXSID10858897,DTXSID10858897,EPAMED_Water_Set2-31,,,,,missing_smiles_final
DTXSID10858913,DTXSID10858913,EPAMED_Water_Set2-47,,,,,missing_smiles_final
DTXSID10858918,DTXSID10858918,EPAMED_Water_Set2-52,,,,,missing_smiles_final
DTXSID10872710,DTXSID10872710,EPAMED_Water_Set3-5,,,,,missing_smiles_final
DTXSID10872715,DTXSID10872715,EPAMED_Water_Set3-10,,,,,missing_smiles_final
DTXSID10872730,DTXSID10872730,EPAMED_Water_Set3-25,,,,,missing_smiles_final
DTXSID10872735,DTXSID10872735,EPAMED_Water_Set3-30,,,,,missing_smiles_final
DTXSID10872750,DTXSID10872750,EPAMED_Water_Set3-45,,,,,missing_smiles_final
DTXSID10872755,DTXSID10872755,EPAMED_Water_Set3-50,,,,,missing_smiles_final
DTXSID10903831,DTXSID10903831,EPAMED_Water_Set4-7,,,,,missing_smiles_final
DTXSID10903836,DTXSID10903836,EPAMED_Water_Set4-12,,,,,missing_smiles_final
DTXSID10903851,DTXSID10903851,EPAMED_Water_Set4-27,,,,,missing_smiles_final
DTXSID10903856,DTXSID10903856,EPAMED_Water_Set4-42,,,,,missing_smiles_final
DTXSID10903871,DTXSID10903871,EPAMED_Water_Set5-12,,,,,missing_smiles_final
DTXSID10903876,DTXSID10903876,EPAMED_Water_Set5-17,,,,,missing_smiles_final
DTXSID10903891,DTXSID10903891,EPAMED_Water_Set5-32,,,,,missing_smiles_final
DTXSID10903896,DTXSID10903896,EPAMED_Water_Set5-37,,,,,missing_smiles_final
DTXSID201339555,DTXSID201339555,AFFF Solberg F3 (1X),,,,,missing_smiles_final
DTXSID201339593,DTXSID201339593,AFFF Solberg F1 blank,,,,,missing_smiles_final
DTXSID201351484,DTXSID201351484,Propylparaben; 2-(Phenylmethylene)octanal (33:67),,,,,missing_smiles_final
DTXSID201351789,DTXSID201351789,2-(Phenylmethylene)octanal; Butylated hydroxytoluene (67:33),,,,,missing_smiles_final
DTXSID201351791,DTXSID201351791,Citric acid; Butylated hydroxytoluene (67:33),,,,,missing_smiles_final
DTXSID1047730,DTXSID1047730,Orange terpenes,,,,,missing_smiles_final
DTXSID1048122,DTXSID1048122,Benzyl-C8-18-alkyldimethylammonium chlorides,,,,,missing_smiles_final
DTXSID1048702,DTXSID1048702,Diisopropylaminomethyl-polystyrene,,,,,missing_smiles_final
DTXSID2024824,DTXSID2024824,"Chlorinated paraffins (C12, 60% chlorine)",,,,,missing_smiles_final
DTXSID2026076,DTXSID2026076,Tannic acid,,,,,missing_smiles_final
DTXSID2027963,DTXSID2027963,Isooctadecanoic acid,,,,,missing_smiles_final
DTXSID2029329,DTXSID2029329,Tripropylene glycol monomethyl ether,,,,,missing_smiles_final
DTXSID2030857,DTXSID2030857,Black cohosh,,,,,missing_smiles_final
DTXSID2031532,DTXSID2031532,Lime oil,,,,,missing_smiles_final
