memory_name,compound_id,name,domain,reference_group,label_source,ar_binding,tanimoto,murcko_scaffold,task,query_compound_id,query_name,query_delta_score
pollutant_only,DTXSID5032315,"4,5-Dichloro-2-octyl-3(2H)-isothiazolone",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.22857143,O=c1ccs[nH]1,ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",0.6794974525769553
pollutant_only,DTXSID8026193,"1,2,3-Trichlorobenzene",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.22727273,c1ccccc1,ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",0.6794974525769553
pollutant_only,DTXSID9023881,Clofentezine,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.22222222,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1,ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",0.6794974525769553
natural_product,CHEMBL311000,CHEMBL311000,natural_product,natural_product,chembl_source_target_mie_curated,0.0,0.15151516,c1ccc(-c2ccccc2)cc1,ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",0.6794974525769553
natural_product,CHEMBL1670,MITOTANE,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.14285715,c1ccc(Cc2ccccc2)cc1,ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",0.6794974525769553
natural_product,CHEMBL195890,CHEMBL195890,natural_product,natural_product,chembl_source_target_mie_curated,0.0,0.13333334,c1ccc(-c2ccccc2)cc1,ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",0.6794974525769553
natural_product,CHEMBL1112,ARIPIPRAZOLE,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.13114753,O=C1CCc2ccc(OCCCCN3CCN(c4ccccc4)CC3)cc2N1,ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",0.6794974525769553
natural_product,CHEMBL1201196,SERTACONAZOLE,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.13114753,c1ccc(C(Cn2ccnc2)OCc2csc3ccccc23)cc1,ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",0.6794974525769553
ar_support_v2,DTXSID7026102,Tetrachlorophthalic anhydride,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.3043478,O=C1OC(=O)c2ccccc21,ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",0.6794974525769553
ar_support_v2,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.25,O=c1ccs[nH]1,ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",0.6794974525769553
ar_support_v2,DTXSID5032315,"4,5-Dichloro-2-octyl-3(2H)-isothiazolone",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.22857143,O=c1ccs[nH]1,ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",0.6794974525769553
ar_support_v2,DTXSID8026193,"1,2,3-Trichlorobenzene",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.22727273,c1ccccc1,ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",0.6794974525769553
ar_support_v2,DTXSID9023881,Clofentezine,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.22222222,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1,ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",0.6794974525769553
pollutant_only,DTXSID4032613,Fenitrothion,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.55,c1ccccc1,ar_binding,DTXSID8020620,Fenthion,0.6780911008516947
pollutant_only,DTXSID1032484,Temephos,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.51428574,c1ccc(Sc2ccccc2)cc1,ar_binding,DTXSID8020620,Fenthion,0.6780911008516947
pollutant_only,DTXSID3024102,Fenamiphos,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.47727272,c1ccccc1,ar_binding,DTXSID8020620,Fenthion,0.6780911008516947
pollutant_only,DTXSID1020855,Methyl parathion,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.425,c1ccccc1,ar_binding,DTXSID8020620,Fenthion,0.6780911008516947
pollutant_only,DTXSID2034885,Fenchlorphos,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.35897437,c1ccccc1,ar_binding,DTXSID8020620,Fenthion,0.6780911008516947
natural_product,CHEMBL1326877,DIOXYBENZONE,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.23913044,O=C(c1ccccc1)c1ccccc1,ar_binding,DTXSID8020620,Fenthion,0.6780911008516947
natural_product,CHEMBL194906,CHEMBL194906,natural_product,natural_product,chembl_source_target_mie_curated,0.0,0.2195122,C=C(c1ccccc1)c1ccccc1,ar_binding,DTXSID8020620,Fenthion,0.6780911008516947
natural_product,CHEMBL362919,METHOXYCHLOR,natural_product,natural_product,chembl_source_target_mie_curated,0.0,0.21428572,c1ccc(Cc2ccccc2)cc1,ar_binding,DTXSID8020620,Fenthion,0.6780911008516947
natural_product,CHEMBL6,INDOMETHACIN,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.21311475,O=C(c1ccccc1)n1ccc2ccccc21,ar_binding,DTXSID8020620,Fenthion,0.6780911008516947
natural_product,CHEMBL154,NAPROXEN,natural_product,natural_product,chembl_source_target_mie_curated,0.0,0.20833333,c1ccc2ccccc2c1,ar_binding,DTXSID8020620,Fenthion,0.6780911008516947
ar_support_v2,DTXSID4032613,Fenitrothion,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.55,c1ccccc1,ar_binding,DTXSID8020620,Fenthion,0.6780911008516947
