memory_name,compound_id,name,domain,reference_group,label_source,esr1_binding,tanimoto,murcko_scaffold,task,query_compound_id,query_name,query_delta_score,ar_binding
pollutant_only,DTXSID1020431,"1,4-Dichlorobenzene",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.44444445,c1ccccc1,esr1_binding,DTXSID4020375,DDT,0.7793091257413229,
generic_bioactive,CHEMBL196585,CHEMBL196585,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.6086956,c1ccc(Cc2ccccc2)cc1,esr1_binding,DTXSID4020375,DDT,0.7793091257413229,
generic_bioactive,CHEMBL4642117,CHEMBL4642117,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.3846154,c1ccc(Cc2ccccc2)cc1,esr1_binding,DTXSID4020375,DDT,0.7793091257413229,
generic_bioactive,CHEMBL4646249,CHEMBL4646249,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.33333334,c1ccc(Cc2ccccc2)cc1,esr1_binding,DTXSID4020375,DDT,0.7793091257413229,
generic_bioactive,CHEMBL3234619,CHEMBL3234619,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.23529412,c1ccc(N=C(c2ccccc2)c2ccccc2)cc1,esr1_binding,DTXSID4020375,DDT,0.7793091257413229,
generic_bioactive,CHEMBL132868,CHEMBL132868,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.22857143,c1ccc(CCc2ccccc2)cc1,esr1_binding,DTXSID4020375,DDT,0.7793091257413229,
mixed,DTXSID6022345,"o,p'-DDT",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.65384614,c1ccc(Cc2ccccc2)cc1,esr1_binding,DTXSID4020375,DDT,0.7793091257413229,
mixed,CHEMBL196585,CHEMBL196585,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.6086956,c1ccc(Cc2ccccc2)cc1,esr1_binding,DTXSID4020375,DDT,0.7793091257413229,
mixed,DTXSID8022325,"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.6086956,c1ccc(Cc2ccccc2)cc1,esr1_binding,DTXSID4020375,DDT,0.7793091257413229,
mixed,DTXSID9020827,Methoxychlor,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.53846157,c1ccc(Cc2ccccc2)cc1,esr1_binding,DTXSID4020375,DDT,0.7793091257413229,
mixed,DTXSID4020373,"p,p'-DDD",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.45833334,c1ccc(Cc2ccccc2)cc1,esr1_binding,DTXSID4020375,DDT,0.7793091257413229,
pollutant_only,DTXSID0040707,4-Pentylaniline,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.95454544,c1ccccc1,esr1_binding,DTXSID5040708,4-Hexylaniline,0.7783656618718247,
pollutant_only,DTXSID8021856,4-Butylaniline,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.82608694,c1ccccc1,esr1_binding,DTXSID5040708,4-Hexylaniline,0.7783656618718247,
pollutant_only,DTXSID5048180,4-Propylaniline,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.6666667,c1ccccc1,esr1_binding,DTXSID5040708,4-Hexylaniline,0.7783656618718247,
pollutant_only,DTXSID6048206,4-Chloropentylbenzene,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.65384614,c1ccccc1,esr1_binding,DTXSID5040708,4-Hexylaniline,0.7783656618718247,
pollutant_only,DTXSID2037714,4-Heptylphenol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.6296296,c1ccccc1,esr1_binding,DTXSID5040708,4-Hexylaniline,0.7783656618718247,
